F9,2014,8	430.75055,367.84,1471160
FL,2013,4	429.9903,367.38,1487032
FL,2013,8	429.34387,367.0,1501793
FL,2014,10	429.0535,366.72,1506453
FL,2014,3	428.682,366.52,1515755
FL,2014,7	428.41727,366.3,1522722
HA,2013,10	427.79193,365.66,1528704
HA,2013,3	427.18835,364.98,1534698
HA,2013,7	426.5266,364.21,1541341
HA,2014,11	425.99597,363.6,1547472
HA,2014,2	425.50473,362.92,1552886
HA,2014,6	424.94305,362.25,1559279
HA,2015,1	424.47626,361.58,1565713
MQ,2013,11	421.5538,358.6,1599363
MQ,2013,2	418.95612,356.2,1632826
MQ,2013,6	416.01953,353.28,1670258
MQ,2014,1	413.52216,351.08,1704465
MQ,2014,12	411.19766,348.8,1734563
MQ,2014,5	408.79883,346.32,1769132
MQ,2014,9	406.50626,344.24,1799990
NK,2015,1	406.8782,344.89,1808720
OO,2013,11	403.70428,341.94,1856114
OO,2013,2	400.61093,338.8,1903588
OO,2013,6	397.01593,335.38,1957671
OO,2014,1	394.36386,333.0,2007704
OO,2014,12	392.58667,331.2,2056667
OO,2014,5	389.54858,328.65,2108422
OO,2014,9	387.24808,326.6,2157315
UA,2013,11	397.38242,330.88,2197905
UA,2013,2	406.29987,334.88,2235951
UA,2013,6	417.0584,339.39,2279311
UA,2014,1	426.36926,343.44,2318465
UA,2014,12	435.95197,347.9,2358837
UA,2014,5	445.3772,352.42,2401026
UA,2014,9	453.74814,356.58,2441153
US,2013,4	455.08545,358.15,2475521
US,2013,8	456.4574,359.8,2510807
US,2014,10	457.7484,361.25,2546382
US,2014,3	459.61917,363.15,2582783
US,2014,7	461.39075,364.98,2618690
VX,2013,4	461.81784,365.12,2623239
VX,2013,8	462.09848,365.24,2628439
VX,2014,10	462.42444,365.4,2633158
VX,2014,3	462.72333,365.42,2637859
VX,2014,7	463.14246,365.7,2642934
WN,2013,1	452.4431,356.4,2731602
WN,2013,12	441.85815,347.13,2826028
WN,2013,5	431.5911,337.9,2924396
WN,2013,9	422.62094,329.63,3014022
WN,2014,4	413.85303,321.2,3112840
WN,2014,8	405.35645,313.04,3211830
YV,2013,10	404.79178,312.5,3224049
YV,2013,3	404.34552,312.09,3235415
YV,2013,7	403.78506,311.65,3248561
9E,2013,12	289.78287,269.39,22181
9E,2013,3	287.08813,268.14,49142
9E,2013,7	284.47333,266.0,75854
AA,2013,12	365.96204,312.8,121497
AA,2013,3	401.67267,347.7,166994
AA,2013,7	420.72165,372.4,213893
AA,2014,2	435.6902,390.0,254809
AA,2014,6	445.87848,402.5,300352
AA,2015,1	456.64398,414.45,344323
AS,2013,1	448.0442,406.3,356303
AS,2013,10	439.19122,397.5,368909
AS,2013,5	430.7745,388.8,381952
AS,2013,9	422.99442,380.65,394559
AS,2014,11	416.3214,372.96,407590
AS,2014,4	410.1776,365.85,420232
AS,2014,8	402.96725,357.28998,435326
B6,2013,12	407.43283,363.0,456485
B6,2013,3	411.32654,368.3,477291
B6,2013,7	414.79306,372.0,499350
B6,2014,2	418.3099,376.26,517750
B6,2014,6	421.797,379.68,538910
B6,2015,1	425.71292,384.0,560489
DL,2013,12	440.13373,395.64,620838
DL,2013,3	453.14453,406.06,684469
DL,2013,7	463.66428,413.47,753075
DL,2014,2	471.60248,419.2,806901
DL,2014,6	479.52994,424.35,875931
DL,2015,1	487.65717,430.22,940013
EV,2013,11	476.20358,417.24,998376
EV,2013,4	464.833,404.2,1062177
EV,2013,8	454.3774,392.15,1127808
EV,2014,12	447.81882,385.0,1179574
EV,2014,3	440.3601,377.0,1241256
EV,2014,7	433.73456,369.9,1301948
F9,2013,2	432.74393,368.75,1307204
F9,2013,6	431.27576,367.4,1313760
F9,2014,1	429.95862,366.27,1319491
F9,2014,10	428.09702,364.56,1327689
F9,2014,5	426.4545,363.0,1334954
F9,2014,9	424.67673,361.53,1342802
FL,2013,1	423.94525,361.13,1358097
FL,2013,10	423.28735,360.58,1371230
FL,2013,5	422.60593,360.36,1386977
FL,2013,9	422.06134,359.7,1399481
FL,2014,11	421.863,359.6,1403431
FL,2014,4	421.5732,359.47,1411629
FL,2014,8	421.40433,359.19,1417924
HA,2013,11	420.85562,358.61,1423758
HA,2013,4	420.24887,357.87,1429541
HA,2013,8	419.5808,357.12,1435943
HA,2014,12	419.01733,356.4,1442358
HA,2014,3	418.37915,355.6,1448428
HA,2014,7	417.78162,354.96,1455228
MQ,2013,12	414.95255,352.24,1489247
MQ,2013,3	412.07217,349.65,1525954
MQ,2013,7	408.9124,346.62,1564794
MQ,2014,2	406.8194,344.86,1595555
MQ,2014,6	404.29294,342.35,1628680
MQ,2015,1	402.0499,340.48,1658315
OO,2013,12	398.66666,337.35,1707809
OO,2013,3	394.8498,333.6,1763166
OO,2013,7	391.44537,330.05,1818975
OO,2014,2	388.78864,327.86,1864158
OO,2014,6	386.01727,325.38,1917032
OO,2015,1	384.0048,323.79,1964769
UA,2013,12	396.07944,328.56,2006098
